iter	Passed	Remaining
927	9053	10458
928	9061	10447
929	9067	10431
930	9075	10420
931	9085	10411
932	9096	10403
933	9105	10392
934	9112	10379
935	9121	10368
936	9128	10356
937	9136	10344
938	9143	10331
939	9153	10321
940	9161	10310
941	9169	10298
942	9176	10285
943	9183	10273
944	9190	10260
945	9198	10248
946	9207	10237
947	9214	10225
948	9221	10212
949	9229	10201
950	9237	10189
951	9245	10177
952	9253	10165
953	9262	10155
954	9269	10143
955	9277	10131
956	9286	10121
957	9293	10108
958	9301	10096
959	9308	10084
960	9318	10074
961	9325	10062
962	9333	10050
963	9342	10040
964	9351	10030
965	9359	10018
966	9366	10006
967	9374	9994
968	9383	9983
969	9393	9974
970	9403	9965
971	9412	9954
972	9420	9943
973	9428	9931
974	9435	9919
975	9445	9909
976	9453	9898
977	9461	9887
978	9469	9875
979	9474	9861
980	9481	9848
981	9488	9836
982	9496	9825
983	9504	9813
984	9512	9802
985	9520	9791
986	9529	9780
987	9536	9767
988	9544	9757
989	9553	9746
990	9561	9735
991	9570	9724
992	9578	9713
993	9584	9700
994	9591	9688
995	9603	9680
996	9612	9670
997	9620	9658
998	9627	9646
999	9634	9634
1000	9642	9623
1001	9650	9612
1002	9657	9599
1003	9664	9587
1004	9673	9576
1005	9679	9564
1006	9687	9552
1007	9695	9541
1008	9703	9530
1009	9713	9520
1010	9724	9512
1011	9732	9501
1012	9739	9489
1013	9748	9479
1014	9756	9467
1015	9764	9456
1016	9770	9444
1017	9778	9433
1018	9786	9421
1019	9794	9410
1020	9803	9400
1021	9811	9388
1022	9820	9378
1023	9827	9367
1024	9833	9354
1025	9843	9344
1026	9849	9332
1027	9856	9319
1028	9864	9308
1029	9872	9296
1030	9880	9286
1031	9888	9275
1032	9895	9263
1033	9902	9251
1034	9910	9239
1035	9918	9229
1036	9925	9217
1037	9933	9206
1038	9941	9195
1039	9948	9183
1040	9954	9170
1041	9962	9159
1042	9971	9149
1043	9979	9137
1044	9986	9126
1045	9992	9113
1046	10000	9103
1047	10008	9091
1048	10015	9080
1049	10025	9070
1050	10033	9059
1051	10041	9048
1052	10048	9036
1053	10055	9025
1054	10063	9013
1055	10069	9001
1056	10076	8990
1057	10086	8980
1058	10094	8969
1059	10100	8957
1060	10108	8946
1061	10117	8936
1062	10125	8925
1063	10133	8914
1064	10141	8903
1065	10149	8892
1066	10160	8884
1067	10170	8875
1068	10174	8860
1069	10181	8849
1070	10189	8838
1071	10197	8827
1072	10206	8817
1073	10213	8806
1074	10221	8795
1075	10230	8784
1076	10237	8773
1077	10245	8762
1078	10252	8751
1079	10258	8738
1080	10264	8726
1081	10274	8717
1082	10282	8706
1083	10290	8696
1084	10302	8688
1085	10311	8678
1086	10318	8666
1087	10325	8654
1088	10333	8644
1089	10342	8634
1090	10349	8623
1091	10369	8622
1092	10402	8632
1093	10414	8624
1094	10425	8616
1095	10441	8612
1096	10448	8601
1097	10456	8590
1098	10464	8579
1099	10472	8568
1100	10480	8557
1101	10488	8547
1102	10496	8536
1103	10504	8525
1104	10513	8515
1105	10520	8504
1106	10527	8492
1107	10536	8482
1108	10543	8471
1109	10550	8459
1110	10559	8449
1111	10567	8439
1112	10575	8428
1113	10583	8417
1114	10590	8405
1115	10599	8395
1116	10607	8385
1117	10615	8374
1118	10623	8364
1119	10634	8355
1120	10643	8346
1121	10652	8335
1122	10661	8326
1123	10669	8315
1124	10676	8303
1125	10683	8292
1126	10691	8281
1127	10699	8270
1128	10706	8259
1129	10714	8249
1130	10721	8237
1131	10729	8227
1132	10737	8216
1133	10746	8206
1134	10755	8197
1135	10763	8186
1136	10774	8178
1137	10782	8167
1138	10790	8156
1139	10799	8146
1140	10807	8136
1141	10815	8126
1142	10823	8115
1143	10830	8104
1144	10838	8093
1145	10845	8082
1146	10852	8070
1147	10859	8059
1148	10868	8049
1149	10875	8038
1150	10883	8028
1151	10891	8017
1152	10899	8006
1153	10908	7997
1154	10916	7986
1155	10924	7976
1156	10932	7965
1157	10939	7954
1158	10948	7944
1159	10957	7934
1160	10966	7924
1161	10974	7914
1162	10981	7903
1163	10989	7892
1164	10995	7881
1165	11003	7870
1166	11010	7858
1167	11019	7849
1168	11027	7838
1169	11034	7827
1170	11045	7819
1171	11053	7809
1172	11064	7800
1173	11073	7791
1174	11082	7781
1175	11091	7771
1176	11100	7761
1177	11109	7752
1178	11118	7742
1179	11128	7733
1180	11138	7724
1181	11145	7713
1182	11158	7706
1183	11168	7696
1184	11177	7687
1185	11185	7676
1186	11194	7667
1187	11203	7657
1188	11212	7647
1189	11220	7637
1190	11227	7626
1191	11234	7615
1192	11243	7605
1193	11251	7595
1194	11259	7585
1195	11268	7574
1196	11278	7565
1197	11288	7556
1198	11296	7546
1199	11306	7537
1200	11314	7527
1201	11323	7517
1202	11333	7508
1203	11341	7498
1204	11351	7489
1205	11361	7480
1206	11372	7471
1207	11385	7464
1208	11394	7454
1209	11403	7445
1210	11411	7435
1211	11419	7424
1212	11429	7415
1213	11438	7405
1214	11446	7395
1215	11454	7385
1216	11461	7374
1217	11468	7363
1218	11477	7353
1219	11485	7343
1220	11493	7332
1221	11501	7322
1222	11509	7312
1223	11517	7301
1224	11524	7291
1225	11532	7280
1226	11539	7269
1227	11545	7258
1228	11552	7247
1229	11561	7237
1230	11568	7226
1231	11574	7215
1232	11581	7204
1233	11588	7193
1234	11595	7182
1235	11606	7174
1236	11614	7164
1237	11621	7153
1238	11630	7143
1239	11639	7133
1240	11646	7123
1241	11655	7113
1242	11663	7103
1243	11671	7092
1244	11680	7083
1245	11688	7072
1246	11696	7062
1247	11701	7050
1248	11710	7041
1249	11718	7031
1250	11726	7020
1251	11733	7009
1252	11740	6999
1253	11748	6989
1254	11754	6977
1255	11761	6967
1256	11768	6956
1257	11776	6945
1258	11786	6936
1259	11794	6927
1260	11803	6917
1261	11812	6907
1262	11820	6897
1263	11827	6887
1264	11835	6876
1265	11842	6866
1266	11849	6855
1267	11856	6844
1268	11865	6835
1269	11873	6824
1270	11883	6815
1271	11890	6805
1272	11899	6795
1273	11906	6784
1274	11915	6775
1275	11923	6765
1276	11930	6754
1277	11941	6746
1278	11949	6736
1279	11958	6726
1280	11965	6716
1281	11974	6706
1282	11981	6695
1283	11990	6686
1284	11996	6675
1285	12004	6665
1286	12012	6654
1287	12018	6643
1288	12027	6634
1289	12034	6623
1290	12040	6612
1291	12047	6602
1292	12053	6590
1293	12061	6580
1294	12069	6570
1295	12078	6560
1296	12087	6551
1297	12096	6542
1298	12103	6531
1299	12110	6521
1300	12118	6510
1301	12125	6500
1302	12133	6490
1303	12142	6480
1304	12149	6470
1305	12157	6460
1306	12167	6451
1307	12175	6441
1308	12183	6431
1309	12192	6421
1310	12200	6412
1311	12209	6402
1312	12217	6392
1313	12225	6382
1314	12233	6372
1315	12242	6363
1316	12250	6353
1317	12257	6342
1318	12266	6332
1319	12273	6322
1320	12282	6313
1321	12291	6303
1322	12298	6293
1323	12307	6283
1324	12316	6274
1325	12325	6264
1326	12332	6254
1327	12340	6244
1328	12349	6235
1329	12356	6224
1330	12364	6214
1331	12371	6204
1332	12380	6195
1333	12389	6185
1334	12399	6176
1335	12409	6167
1336	12418	6157
1337	12426	6148
1338	12435	6138
1339	12441	6127
1340	12446	6116
1341	12455	6107
1342	12466	6098
1343	12475	6089
1344	12481	6078
1345	12488	6067
1346	12494	6057
1347	12502	6047
1348	12510	6037
1349	12519	6027
1350	12528	6018
1351	12535	6008
1352	12542	5997
1353	12551	5988
1354	12558	5978
1355	12565	5967
1356	12573	5957
1357	12581	5947
1358	12592	5939
1359	12598	5928
1360	12604	5918
1361	12613	5908
1362	12619	5897
1363	12626	5887
1364	12634	5877
1365	12643	5867
1366	12651	5858
1367	12660	5849
1368	12669	5839
1369	12679	5830
1370	12688	5821
1371	12696	5811
1372	12705	5802
1373	12713	5792
1374	12721	5782
1375	12728	5772
1376	12739	5763
1377	12747	5754
1378	12755	5744
1379	12764	5734
1380	12772	5724
1381	12778	5714
1382	12785	5704
1383	12794	5694
1384	12804	5685
1385	12812	5676
1386	12820	5665
1387	12827	5655
1388	12846	5650
1389	12853	5640
1390	12862	5631
1391	12869	5621
1392	12879	5612
1393	12886	5601
1394	12894	5592
1395	12902	5582
1396	12912	5573
1397	12920	5563
1398	12930	5554
1399	12937	5544
1400	12945	5534
1401	12955	5525
1402	12965	5516
1403	12972	5506
1404	12981	5497
1405	12989	5487
1406	12998	5478
1407	13006	5468
1408	13013	5458
1409	13020	5448
1410	13026	5437
1411	13034	5428
1412	13042	5418
1413	13050	5408
1414	13058	5398
1415	13068	5389
1416	13075	5379
